IST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2013-12-13,24,17,10,10,8,7,87,65,34,1014,1012,1011,3,2,1,23,11,34,0.00,,,264
2013-12-14,23,17,10,12,9,8,94,69,41,1014,1012,1011,3,2,1,11,3,,0.00,,Fog,256
2013-12-15,24,17,11,12,11,9,94,69,38,1016,1014,1013,3,1,1,13,10,,0.00,,Fog,118
2013-12-16,24,17,11,17,12,8,100,82,38,1018,1015,1014,2,1,0,8,2,,0.00,,Fog,13
2013-12-17,23,17,10,16,12,9,100,87,41,1016,1014,1012,2,1,0,10,3,,0.00,,Fog,298
2013-12-18,22,16,10,17,13,10,100,91,60,1014,1012,1010,1,0,0,13,3,,0.00,,Fog,74
2013-12-19,22,16,11,15,14,11,100,87,60,1014,1012,1011,1,1,0,14,8,,0.00,1,Fog,83
2013-12-20,18,16,13,15,14,13,100,94,82,1018,1015,1014,1,1,0,13,6,,0.00,3,Fog,323
2013-12-21,16,14,13,15,14,13,100,97,88,1018,1016,1015,1,1,0,11,8,,0.00,,Fog,67
2013-12-22,17,14,13,15,14,12,100,92,82,1020,1018,1016,1,1,0,100,5,,0.00,,Fog,338
2013-12-23,17,13,10,14,13,10,100,94,77,1022,1020,1019,2,1,0,16,11,,0.00,1,Fog,271
2013-12-24,19,13,8,12,9,8,100,87,52,1023,1021,1019,3,1,0,19,10,,0.00,,Fog,273
2013-12-25,20,13,6,9,5,1,100,71,30,1022,1020,1018,3,1,0,23,8,,0.00,1,Fog,274
2013-12-26,19,12,5,8,3,0,87,61,28,1021,1019,1017,4,2,0,19,6,,0.00,1,Fog,293
2013-12-27,16,12,9,9,6,2,94,65,48,1021,1018,1016,3,1,1,16,3,,0.00,5,Fog-Rain,275
2013-12-28,18,12,7,8,3,0,93,57,30,1020,1018,1017,3,2,1,14,3,,0.00,,Fog,293
2013-12-29,18,11,4,6,3,0,93,61,32,1020,1018,1016,3,1,0,16,8,,0.00,,Fog,290
2013-12-30,19,11,4,12,6,-3,100,77,23,1020,1017,1015,3,1,0,16,3,,0.00,5,Fog-Rain-Thunderstorm,121
2013-12-31,16,13,11,12,11,10,100,85,68,1021,1019,1016,4,2,1,19,11,,0.00,8,Fog,133
